Date,Difference,Increase,Decrease,Level,,,,,,,
4/9/1993,-0.25,0,0.25,3.75,,,,,,,
7/2/1993,-0.5,0,0.5,3.25,,,,,,,
9/4/1993,-0.25,0,0.25,3.00,,,,,,,
2/4/1994,0.25,0.25,0,3.25,,,,,,,
3/22/1994,0.25,0.25,0,3.50,,,,,,,
4/18/1994,0.25,0.25,0,3.75,,,,,,,
5/17/1994,0.5,0.5,0,4.25,,,,,,,
8/16/1994,0.5,0.5,0,4.75,,,,,,,
11/15/1994,0.75,0.75,0,5.50,,,,,,,
2/1/1995,0.5,0.5,0,6.00,,,,,,,
7/6/1995,-0.25,0,0.25,5.75,,,,,,,
12/19/1995,-0.25,0,0.25,5.50,,,,,,,
1/31/1996,-0.25,0,0.25,5.25,,,,,,,
3/25/1997,0.25,0.25,0,5.50,,,,,,,
9/29/1998,-0.25,0,0.25,5.25,,,,,,,
10/15/1998,-0.25,0,0.25,5.00,,,,,,,
11/17/1998,-0.25,0,0.25,4.75,,,,,,,
6/30/1999,0.25,0.25,0,5.00,,,,,,,
8/24/1999,0.25,0.25,0,5.25,,,,,,,
11/16/1999,0.25,0.25,0,5.50,,,,,,,
2/2/2000,0.25,0.25,0,5.75,,,,,,,
3/21/2000,0.25,0.25,0,6.00,,,,,,,
5/16/2000,0.5,0.5,0,6.50,,,,,,,
1/3/2001,-0.5,0,0.5,6.00,,,,,,,
1/31/2001,-0.5,0,0.5,5.50,,,,,,,
3/20/2001,-0.5,0,0.5,5.00,,,,,,,
4/18/2001,-0.5,0,0.5,4.50,,,,,,,
5/15/2001,-0.5,0,0.5,4.00,,,,,,,
6/27/2001,-0.25,0,0.25,3.75,,,,,,,
8/21/2001,-0.25,0,0.25,3.50,,,,,,,
9/17/2001,-0.5,0,0.5,3.00,,,,,,,
10/2/2001,-0.5,0,0.5,2.50,,,,,,,
11/6/2001,-0.5,0,0.5,2.00,,,,,,,
12/11/2001,-0.25,0,0.25,1.75,,,,,,,
11/6/2002,-0.5,0,0.5,1.25,,,,,,,
6/25/2003,-0.25,0,0.25,1.00,,,,,,,
6/30/2004,0.25,0.25,0,1.25,,,,,,,
8/10/2004,0.25,0.25,0,1.50,,,,,,,
9/21/2004,0.25,0.25,0,1.75,,,,,,,
11/10/2004,0.25,0.25,0,2.00,,,,,,,
12/14/2004,0.25,0.25,0,2.25,,,,,,,
2/2/2005,0.25,0.25,0,2.50,,,,,,,
3/22/2005,0.25,0.25,0,2.75,,,,,,,
5/3/2005,0.25,0.25,0,3.00,,,,,,,
6/30/2005,0.25,0.25,0,3.25,,,,,,,
8/9/2005,0.25,0.25,0,3.50,,,,,,,
9/20/2005,0.25,0.25,0,3.75,,,,,,,
11/1/2005,0.25,0.25,0,4.00,,,,,,,
12/13/2005,0.25,0.25,0,4.25,,,,,,,
1/31/2006,0.25,0.25,0,4.50,,,,,,,
3/28/2006,0.25,0.25,0,4.75,,,,,,,
5/10/2006,0.25,0.25,0,5.00,,,,,,,
6/29/2006,0.25,0.25,0,5.25,,,,,,,
9/18/2007,-0.5,0,0.5,4.75,,,,,,,
10/31/2007,-0.25,0,0.25,4.50,,,,,,,
12/11/2007,-0.25,0,0.25,4.25,,,,,,,
1/22/2008,-0.75,0,0.75,3.50,,,,,,,
1/30/2008,-0.5,0,0.5,3.00,,,,,,,
3/18/2008,-0.75,0,0.75,2.25,,,,,,,
4/30/2008,-0.25,0,0.25,2.00,,,,,,,
10/8/2008,-0.5,0,0.5,1.50,,,,,,,
10/29/2008,-0.5,0,0.5,1.00,,,,,,,
12/16/2008,-0.75,0,0.75,0.25,,,,,,,
